,Year,Song,Singer,Lyrics,Genre
1238,2022,On BS,Drake & 21 Savage,"[Intro: 21 Savage] Yeah, woah, woah, woah  [Verse 1: 21 Savage & Drake] I had to cut some niggas off, they didn't mean me no good I come from the ghetto, so my trunk is in my hood  She wouldn't wear no panties 'round me even if she could Gave out plenty spankings 'til they got it understood  Fuck the nosebleeds, baby, come sit on this wood  If you know it's tension, don't come 'round me like it's good I got street smarts and you can't get this out no book I can't right my wrongs, but I can still write these hooks  Oh, time to get exposed You ain't been from 'round here, nigga, come get off your show Savage said you pussy and he hit it on the nose But that board is opеn, why you actin' like it's closed? I don't know  Y'all be goin' in and out rеcessions The same way that I be goin' in and out of Texas Or in and out my sessions, or in and out her best friends Or in and out these courtrooms, my lawyer like, ""Objection""  Yeah, woah, woah All my bitches Spanish, bodiqua  Water on my neck, these diamonds came with coral reefer She from overseas, I had to buy her a new visa Met your wife in Vegas, but I hit her in Ibiza She a supermodel, so she only eatin' Caesar  Used to date a rapper, but he acted like a diva Niggas hustlin' backwards, out here ballin' with the reup Popped an Adderall, I feel like I can lift a tree up Seen too many cameras, so I never lift my ski up (Yeah) I jump on your song and make you sound like you the feature  I jump on your song and make a label think they need ya, for real (Yeah)  [Chorus: 21 Savage & Drake] On that bullshit (Okay), on that bullshit (Okay) On that bullshit (Okay), on that bullshit (Okay) On that bullshit (Okay), on that bullshit (Okay) On that bullshit, we on all the bullshit (Okay) On that bullshit (Okay), on that bullshit (Okay, okay) On that bullshit (Okay), on that bullshit (Yeah) On that bullshit (Okay), on that bullshit (Okay) All the bullshit  [Verse 2: Drake] Damn, maybe I should do a twenty, maybe I should break that twenty, do a ten Maybe I should break that ten, do a five, then if it gets live, do a five again If he held his tongue on that live, he'd be alive again, damn  My uncle's sister know she raised a real one, ill one  It's been thirty minutes, I don't feel nothin' Oh shit, wait a minute, think I'm startin' to feel somethin' Where you get this motherfuckin' pill from?  Heard they got some sanctions on my name Heard they plottin' on my name, heard they bankin' on my name I got Lita in this bitch and he might spank it on a lane I'm just— what? In the cut, throwin' Franklins on her frame I'm a— ayy, I'm a gentleman, I'm generous I blow a half a million on you hoes, I'm a feminist  I never put no prices on no beef until we end this shit I pay a half a million for his soul, he my nemesis ",
1239,2022,Sleigh Ride,The Ronettes,"Just hear those sleigh bells jingling, ring tingle tingling too (Ring-a-ling-a ding-dong-ding!) Come on, it's lovely weather for a sleigh ride together with you (Ring-a-ling-a ding-dong-ding!) Outside the snow is falling and friends are calling ""Yoo hoo!"" (Ring-a-ling-a ding-dong-ding!) Come on, it's lovely weather for a sleigh ride together with you (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!)   Our cheeks are nice and rosy and comfy and cozy are we (Ring-a-ling-a ding-dong-ding!) Were snuggled up together like two birds of a feather would be (Ring-a-ling-a ding-dong-ding!) Let's take the road before us and sing a chorus or two (Ring-a-ling-a ding-dong-ding!) Come on, it's lovely weather for a sleigh ride together with you (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!)  [Interlude] (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!)   Our cheeks are nice and rosy and comfy and cozy are we (Ring-a-ling-a ding-dong-ding!) Were snuggled up together like two birds of a feather would be (Ring-a-ling-a ding-dong-ding!) Let's take the road before us and sing a chorus or two (Ring-a-ling-a ding-dong-ding!) Come on, it's lovely weather for a sleigh ride together with you (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a ding-dong-ding!) (Ring-a-ling-a Ding Dong Ding!) ",
1240,2022,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,"Oh, the weather outside is frightful But the fire is so delightful And since we've no place to go Let it snow, let it snow, let it snow   Man, it doesn't show signs of stopping And I've brought me some corn for popping The lights are turned way down low Let it snow, let it snow   When we finally kiss goodnight How I'll hate going out in the storm But if you really hold me tight All the way home I'll be warm   And the fire is slowly dying And, my dear, we're still goodbyeing But as long as you love me so Let it snow, let it snow, and snow   When we finally kiss goodnight How I'll hate going out in the storm But if you really grab me tight All the way home I'll be warm   Oh, the fire is slowly dying And, my dear, we're still goodbyeing But as long as you love me so Let it snow, let it snow, let it snow ",
1241,2022,Feliz Navidad,Jose Feliciano,"[Letra de ""Feliz Navidad""]  [Estribillo] Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  [Verso] I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart  [Estribillo] Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  [Verso] I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart  [Estribillo] Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  [Verso] I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart ",
1242,2022,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,
1243,2022,About Damn Time,Lizzo,"[Intro] Anyway    It's bad bitch o'clock, yeah, it's thick-thirty  I've been through a lot, but I'm still flirty (Okay) Is everybody back up in the buildin'?  It's been a minute, tell me how you're healin'  'Cause I'm about to get into my feelings How you feelin'? How you feel right now?   Oh, I been so down and under pressure  I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better    Turn up the music, turn down the lights  I got a feelin' I'm gon' be alright Okay (Okay), alright It's about damn time (Time) Turn up the music, let's celebrate (Alright)  I got a feelin' I'm gon' be okay Okay (Okay), alright It's about damn time   In a minute, I'ma need a sentimental Man or woman to pump me up  Feelin' fussy, walkin' in my Balenci-ussies  Tryna bring out the fabulous 'Cause I give a fuck way too much I'ma need like two shots in my cup Wanna get up, wanna get down  Mm, that's how I feel right now   Oh, I been so down and under pressure  I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better   Turn up the music, turn down the lights  I got a feelin' I'm gon' be alright Okay (Okay), alright It's about damn time (Time) Turn up the music, let's celebrate (Alright)  I got a feelin' I'm gon' be okay Okay (Okay), alright It's about damn time ",
1244,2022,Until I Found You,Stephen Sanchez,"[Verse 1: Stephen Sanchez] Georgia, wrap me up in all your  I want ya in my arms Oh, let me hold ya I'll never let you go again like I did Oh, I used to say  [Chorus: Stephen Sanchez & Georgia Brown] I would never fall in love again until I found her  I said I would never fall, unless it's you I fall into I was lost within the darkness, but then I found her  I found you  [Verse 2: Stephen Sanchez & Georgia Brown] Georgia pulled me in I asked to love her once again You fell, I caught ya I'll never let you go again like I did Oh, I used to say  [Chorus: Stephen Sanchez & Georgia Brown] I would never fall in love again until I found her  I said I would never fall unless it's you I fall into I was lost within the darkness, but then I found her  I found you    [Chorus: Stephen Sanchez & Georgia Brown] I would never fall in love again until I found her  I said I would never fall unless it's you I fall into I was lost within the darkness, but then I found her  I found you ",
1245,2022,Thank God,Kane Brown With Katelyn Brown,,
1246,2022,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,"[Chorus: Drake & Lil Yachty] I been out late night creepin', tryna slide on bitches Posted up with the militia Niggas ain't switchin', mind on missions Mind on pussy and millions, mind on pussy and millions I'm tryna call a sex symbol to eat my kids up They say more money, more problems (Will) Bring on the problems (Will) Bring on the problems (Will) Bring on the motherfuckin' problems They say more money, more problems Bring on the problems Bring on the problems Bring on the motherfuckin' problems, ayy   [Verse 1: Drake] Braided up at Matsuhisa  Hit 'em then I get amnesia Life ain't gettin' any easier Flaca, Flacasita  I know that I'm not in love, she don't love me either It's just hard to find the love, this shit keep on gettin' deeper Who said it's cheaper to keep her? I'd rather release her Body and give it away like a feature You know the procedure  Niggas is praying to God so we stay with the sweeper I'm reppin' 4L and my twinny so treacherous introduce y'all to the leader  [Verse 2: 21 Savage]  Come to me with all the smoke I like the money, for sure But I love the hustle the most She pretty, she show off her toes And my Pateks, they came with a pole  Know this money bring envy and jealousy I'm like, ""Fuck it, I want me some more"" Hit her from the back, she bent up Playin' with the money, get spent up Chains on my neck, no Kente  You the type of girl I pay rent for Suck it in the car, that's what the tint for Bought me a plane, not a sprinter Quarter-million dollars on her dental  She say I'm a stepper, but gentle  [Chorus: Drake] I been out late night creepin', tryna slide on bitches Posted up with the militia Niggas ain't switchin', mind on missions Mind on pussy and millions, mind on pussy and millions I'm tryna call a sex symbol to eat my kids up They say more money, more problems (Will) Bring on the problems (Will) Bring on the problems (Will) Bring on the motherfuckin' problems They say more money, more problems Bring on the problems Bring on the problems Bring on the motherfuckin' ",
1247,2022,Underneath The Tree,Kelly Clarkson,"You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree   Tonight (Tonight), I'm gonna hold you close (Ooh) Make sure that you know (Know) I was lost before you (Ooh) Christmas was cold and grey (Ooh) Another holiday (So alone) Alone to celebrate   But then (But then), one day (One day) Everything changed You're all I need Underneath the tree   You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree   I found (I found) what I was looking for (Ooh) A love that's meant for me (Me) A heart that's mine completely (Ooh) Knocked me right off my feet (Ooh) And this year I will fall With no worries at all   'Cause you ('Cause you) are near (Are near) And everything's clear You're all I need Underneath the tree   You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree  [Saxophone Solo] ",
1248,2022,Fall In Love,Bailey Zimmerman,"Heard you moved out to South Carolina Just like you always said we would Packed your bags in that old 4Runner That I bought you when things were good I'm glad to see the stop sign didn't hit ya Bring you back to your senses Oh, it waved you gone, goodbye Yeah, it waved you gone, goodbye   I heard you found yourself a brand new man Put a rock on your finger and he vowed you a second chance Built a house right by the coast That ocean view is beautiful , but baby, I just want you to know He don't know you like I did Money talks, but I ain't buyin'   'Cause love's a smoke ring wrapped around your finger One second, it's a blessin', and the next, it's already gone A broken heart, I'm a walkin' testimony My confession is a lesson that I'm pourin' out in this song Oh-woah-woah, oh-woah-woah You don't wanna fall in love Oh-woah-woah, oh-woah-woah You don't wanna fall in love   I seen your mama walkin' out the county market And I stopped to ask her how she's been Said she's missin' ya and tried to go convincin' ya Not to settle down with him She ain't wrong, the whole town knows it You had a bed of roses, but girl, you couldn't walk that line You can act like you're doin' fine   'Cause love's a smoke ring wrapped around your finger One second, it's a blessin', and the next, it's already gone A broken heart, I'm a walkin' testimony My confession is a lesson that I'm pourin' out in this song Oh-woah-woah, oh-woah-woah You don't wanna fall in love Oh-woah-woah, oh-woah-woah You don't wanna fall in love     'Cause love's a smoke ring wrapped around your finger One second, it's a blessin', and the next, it's already gone A broken heart, I'm a walkin' testimony My confession is a lesson that I'm pourin' out in this song Oh-woah-woah, oh-woah-woah You don't wanna fall in love Oh-woah-woah, oh-woah-woah You don't wanna fall in love Oh-woah-woah, oh-woah-woah You don't wanna fall in love Oh-woah-woah, oh-woah-woah ",
1249,2022,Bejeweled,Taylor Swift,"Baby love, I think I've been a little too kind Didn't notice you walkin' all over my peace of mind In the shoes I gave you as a present  Puttin' someone first only works when you're in their top five And by the way, I'm goin' out tonight   Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer  And when I meet the band They ask, ""Do you have a man?"" I could still say, ""I don't remember"" Familiarity breeds contempt  Don't put mе in the basement Whеn I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice   [Post-Chorus] Nice   Baby boy, I think I've been too good of a girl (Too good of a girl) Did all the extra credit, then got graded on a curve  I think it's time to teach some lessons I made you my world (Huh), have you heard? (Huh) I can reclaim the land  And I miss you (Miss you), but I miss sparklin' (Nice)   Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer  And when I meet the band They ask, ""Do you have a man?"" I could still say, ""I don't remember""  Familiarity breeds contempt Don't put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice  [Post-Chorus] Nice   Sapphire tears on my face  Sadness became my whole sky But some guy said my aura's moonstone  Just 'cause he was high And we're dancin' all night And you can try to change my mind But you might have to wait in line What's a girl gonna do? A diamond's gotta shine ",
1250,2022,Hold Me Closer,Elton John & Britney Spears,"[Intro: Elton John] (Hold me closer) (Hold me closer) (Hold me closer) (Hold me closer)  [Verse 1: Elton John & Britney Spears, Elton John] I saw you dancin' out the ocean Runnin' fast along the sand A spirit born of earth and water Fire flyin' from your hands (Oh)  [Chorus: Elton John & Britney Spears, Britney Spears] Hold me closer, tiny dancer  Count the headlights on the highway Lay me down in sheets of linen You had a busy day today, oh  [Post-Chorus: Elton John & Britney Spears] Hold me closer Hold me closer (Hold me closer) Hold me closer Hold me closer  [Verse 2: Elton John, Britney Spears & Both] There are caravans we follow Drunken nights in dark hotels, baby (Yeah) When chances breathe between the silence Where sex and love no longer gel, oh  [Chorus: Elton John & Britney Spears, Britney Spears] Hold me closer, tiny dancer Count the headlights on the highway (Yeah) Lay me down in sheets of linen You had a busy day today  [Post-Chorus: Elton John & Britney Spears] Hold me closer Hold me closer (Baby, baby) Hold me closer Hold me closer (Oh, yeah)  [Outro: Elton John & Britney Spears] (Hold me closer) (Hold me closer) Hold me closer (Hold me closer) Me closer, me closer (Hold me closer) Mm, yeah ",
1251,2022,Midnight Rain,Taylor Swift,"[Intro] Rain He wanted it comfortable, I wanted that pain  He wanted a bride, I was making my own name  Chasing that fame, he stayed the same  All of me changed like midnight   My town was a wasteland Full of cages, full of fences Pageant queens and big pretenders  But for some, it was paradise My boy was a montage A slow-motion, love potion Jumping off things in the ocean  I broke his heart 'cause he was nice He was sunshine, I was midnight rain   He wanted it comfortable, I wanted that pain  He wanted a bride, I was making my own name  Chasing that fame, he stayed the same  All of me changed like midnight   It came like a postcard Picture perfect shiny family Holiday peppermint candy But for him, it's every day  So I peered through a window A deep portal, time travel All the love we unravel  And the life I gave away 'Cause he was sunshine, I was midnight rain   He wanted it comfortable, I wanted that pain  He wanted a bride, I was making my own name  Chasing that fame, he stayed the same  All of me changed like midnight rain He wanted it comfortable, I wanted that pain  He wanted a bride, I was making my own name  Chasing that fame, he stayed the same  All of me changed like midnight   I guess sometimes we all get Just what we wanted, just what we wanted And he never thinks of me Except for when I'm on TV  I guess sometimes we all get Some kind of haunted, some kind of haunted  And I never think of him Except on midnights like this (Midnights like this, midnights like this) ",
1252,2022,Wait In The Truck,HARDY Featuring Lainey Wilson,"[Verse 1: HARDY] I got turned around in some little town I'd never been to before Workin' my way through a middle of June Midnight thunderstorm There was somethin' in the headlights That stopped me on a dime Well, she was scared to death So I said, ""Climb in,"" and in she climbed Oh, yeah  [Verse 2: HARDY] Well, she was bruised and broke from head to toe With a tear in her blood-stained shirt She didn't tell the whole truth, but she didn't have to I knew what had happenеd to her  I didn't load her down with questions That girl had been through еnough I just threw it in drive, looked in those eyes And asked her where he was   [Chorus: Lainey Wilson, HARDY & Lainey Wilson] I don't know if he's an angel 'Cause angels don't do what he did He was hellbent to find the man behind All the whiskey scars I hid  I never thought my day of justice Would come from a judge under his seat  But I knew right then I'd never get hit again when he said to me ""Wait in the truck Just wait in the truck""  [Verse 3: HARDY] Well, I knocked and knocked and no one came So I kicked in his double-wide door  I let the hammer drop before he got To that 12 he was reachin' for  I didn't try to hide my pistol I didn't even try to run I just sat on the porch, smokin' one of his cigarettes And waited for the cops to come  [Chorus: Lainey Wilson, HARDY & Lainey Wilson] I don't know if he's an angel 'Cause angels don't do what he did He was hellbent to find the man behind All the whiskey scars I hid I never thought my day of justice Would come from a judge under his seat  But I knew right then I'd never get hit again when he said to me ""Wait in the truck Just wait in the truck""  [Post-Chorus: HARDY, Lainey Wilson, Both] Whoa (Oh) Have mercy on me, Lord Have mercy on me Have mercy on me, Lord (Oh) ",
1253,2022,Rock And A Hard Place,Bailey Zimmerman,"We've been swingin’ and missin' It ain't broke yet, but damn, it needs fixin’ Been a while since your kiss felt like kissin' It's just different   We've been talkin' 'bout forever since we been together Somethin' 'bout a ring makes you think we’re better Off with all this, but we’re caught in-between    A rock and a hard place  Red wine and mistakes Tears rollin' down your face  When I walked out that door That’s when I lost it  Midnight in Austin  Damn, I'm exhausted  What the hell's this all for? Is this where it mеnds or it breaks? Between a rock and a hard place    For thе record (Shit) Throwin' in the towel takes some effort  So I’d rather ride it out for better weather Together   Between a rock and a hard place Red wine and mistakes Tears rollin' down your face When I walked out that door That's when I lost it Midnight in Austin Damn, I'm exhausted What the hell's this all for? Is this where it mends or it breaks? Between a rock and a hard place    We've been talkin' 'bout forever since we been together Somethin' 'bout a ring makes you think we're better Off with all this, but we're caught in-between   A rock and a hard place Tears rollin' down your face As I walked out that door That's when I lost it Midnight in Austin Damn, I'm exhausted What the hell's this all for? Is this where it mends or it breaks? How much more of this can we take? ",
1254,2022,What My World Spins Around,Jordan Davis,"I love a first cast when the water's glass and the line starts to run Or that first sip of a cold beer when the working week's done I love the twilight in the morning 'fore the day wakes up With the windows down on the first ride in a paid-up truck And I love a slow down in a beach town with an ocean view And I love a first fall Saturday trip down to Baton Rouge And I love a six-string with the stars out and the campfire glow But girl, that don't even come close   To the way that it feels when you lean in and kiss me The way that you dance when you get kinda tipsy I'm wrapped 'round your finger like this ring I'm wearin' That look in your eye, girl, when you catch me starin' And I don't even know what it is, but now that I found it I can't imagine me livin' without this Back forty view on our piece of ground Watching you watch the sun going down That's what my world spins around   Well, I finally get it now, when they say you know, you know And yeah, girl, you had me from that first hello And the only thing better is Heaven above But until I get there, I'll never get enough of   The way that it feels when you lean in and kiss me The way that you dance when you get kinda tipsy I'm wrapped 'round your finger like this ring I'm wearin' That look in your eye, girl, when you catch me starin', and I don't even know what it is, but now that I found it I can't imagine me livin' without this Back forty view on our piece of ground Watching you watch the sun going down That's what my world spins around  [Post-Chorus] What my world spins around Oh, yeah   The way that it feels when you lean in and kiss me The way that you dance when you get kinda tipsy And I'm wrapped 'round your finger like this ring I'm wearin' And that look in your eye, girl, when you catch me starin', and I don't even know what it is, but now that I found it I can't imagine me livin' without this Back forty view on our piece of ground Watching you watch the sun goin' down That's what my world spins around ",
1255,2022,Half Of Me,Thomas Rhett Featuring Riley Green,"[Verse 1: Thomas Rhett] I'm supposed to mow the grass today I'm supposed to fix the fence But with the sun beaten down on me It's hard to make it make sense  [Chorus: Thomas Rhett] Half of me wants a cold beer Yeah, that's the cold hard truth And with the frigerator stocked full of 'em Tell me what's a boy to do? I ain't even tryna fight it, it's already been decided The sky and the mountains are blue  Half of me wants a cold beer And the other half does too  [Verse 2: Riley Green] Yeah, I kinda need to wash my truck But hell, I kinda don't care I think old Alan Jackson said it best ""It's five o'clock somewhеre""  [Chorus: Riley Green] Half of me wants a cold beer Yeah, that's thе cold hard truth And with the 'frigerator stocked full of 'em Tell me what's a boy to do? I ain't even tryna fight it, it's already been decided The sky and the mountains are blue Half of me wants a cold beer Yeah, the other half does too  [Bridge: Thomas Rhett & Riley Green] Yeah, yeah Half of me wants a cold beer If I did what I should be doin' but then that would really ruin all the fun, yeah There's a world of bad decisions out there, but this ain't one  [Chorus: Thomas Rhett & Riley Green] 'Cause half of me wants a cold, cold beer Yeah, that's the cold hard truth (Yeah, it is) And with the 'frigerator stocked full of 'em Tell me, what's a boy to do? I ain't even tryna fight it, it's already been decided The sky and the mountains are blue Half of me wants a cold beer And the other half does too  [Post-Chorus: Riley Green & Thomas Rhett] Yeah, half of me wants a cold, cold beer The other half wants two  [Outro: Riley Green] Woo-hoo! That sounds good, but I can't tell if that's your end or not ",
1256,2022,Hotel Lobby (Unc And Phew),Quavo & Takeoff,"[Intro] M-M-M-Murda  [Verse 1: Takeoff] Let's get it Hop off a sixteen passenger This a G5, no, this not a Challenger (Big one)  I keep some members with me and the freaks get coach seats They some cannibals (Eaters) They like to get geeked, drink a whole bottle, wake up and repeat (Damn) She took a lil' (Shh), mixed it with the— (Chill out) Now she said she seein' 3D (Wow) I go in the jungle and I ain't got a coat, I bet I come out with a mink (I bet I) Do this shit for the fam 'cause this shit bigger than me (Big) Colored stones in my infinity link, and in the factory, masterpiece (Factory) I call him twin 'cause that be my brother We got the same Rollie, he matchin' me (Nah, for real)  [Chorus: Quavo] Water on me like the sauna (Wet), some karats, some pointers (Woo) All these commas, I won't fumble (Fumble) Migo gunners out the jungle (Migo) Buy it all, fuck a front up (Fuck nigga) Cake on me, no funnel (Woo, cash) Drop top, feelin' like Stunna (Hah, drop top) Get these plays, no runnin' (We gone) Chrome Hearts wallet, smoke my pilot, take three vibes to the tropics (Tropics) Nigga wasn't shit, I was outside just servin' narcotics (Narcotics, woo) Pass me that stick, nigga make one wrong move, just pop him (Pop him, brrt) Blame it on bro with the ho flooded out in the hotel lobby (Flooded)  [Verse 2: Quavo] It's crowded, diamonds be dancin' like Bobby (They dancin')  Don't touch it, this Glock, it be cocky (Don't touch it) Shroom and G6 the party, we get it (We kick it) Bitches gon' trend on the topic (Keep trendin') The way I pull up, I'ma pop it, ain't none of these niggas gon' stop me (Pull up, gone) Put this shit on, get a cup for the drip, I'm a motherfuckin' faucet (Kilo) Keep stackin', your bank gon' get bigger (Go) Never will I throw some shade on no nigga (On Take') Lil' nigga, don't play with these niggas (No) I see the big picture, we up on these niggas (Uh) The Huncho, the one, you gon' call on me, nigga? ('Cho) I got your bag, you gon' follow me, nigga (Foll') When I get up, we gon' ball on these niggas (Ball) Fuckin' shit up 'cause we beat out the system (Fuck the system)  [Chorus: Quavo] Water on me like the sauna (Wet), some karats, some pointers (Woo) All these commas, I won't fumble (Fumble) Migo gunners out the jungle (Migo) Buy it all, fuck a front up (Fuck nigga) Cake on me, no funnel (Woo, cash) Drop top, feelin' like Stunna (Hah, drop top) Get these plays, no runnin' (We gone) Chrome Hearts wallet, smoke my pilot, take three vibes to the tropics (Go) Nigga wasn't shit, I was outside just servin' narcotics (Narcotics, woo) Pass me that stick, nigga make one wrong move, just pop him (Pop him, brrt) Blame it on bro with the ho flooded out in the hotel lobby (Flooded) ",
1257,2022,Maroon,Taylor Swift,"When the morning came We were cleaning incense off your vinyl shelf 'Cause we lost track of time again  Laughing with my feet in your lap Like you were my closest friend  ""How'd we end up on the floor, anyway?"" you say ""Your roommate's cheap-ass screw-top rosé, that's how"" I see you every day now   And I chose you The one I was dancing with In New York, no shoes  Looked up at the sky and it was The burgundy on my t-shirt When you splashed your wine into me  And how the blood rushed into my cheeks So scarlet, it was The mark thеy saw on my collarbone The rust that grew bеtween telephones The lips I used to call home So scarlet, it was maroon    When the silence came We were shaking, blind and hazy How the hell did we lose sight of us again? Sobbing with your head in your hands Ain't that the way shit always ends? You were standing hollow-eyed in the hallway  Carnations you had thought were roses, that's us  I feel you, no matter what The rubies that I gave up   And I lost you The one I was dancing with In New York, no shoes  Looked up at the sky and it was (Maroon) The burgundy on my t-shirt When you splashed your wine into me  And how the blood rushed into my cheeks So scarlet, it was (Maroon) The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon    And I wake with your memory over me That's a real fucking legacy, legacy (It was maroon) And I wake with your memory over me That's a real fucking legacy to leave    The burgundy on my t-shirt When you splashed your wine into me  And how the blood rushed into my cheeks So scarlet, it was maroon The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon ",
1258,2022,Victoria's Secret,Jax,"God, I wish somebody would have told me when I was younger That all bodies aren't the same  Photoshop itty bitty models on magazine covers Told me I was overweight  I stopped eating, what a bummer  Can't have carbs and a hot girl summer If I could go back and tell myself when I was younger I'd say, ""Psst!    I know Victoria's secret  And, girl, you wouldn't believe She's an old man who lives in Ohio  Making money off of girls like me"" Cashin' in on body issues Sellin' skin and bones with big boobs  I know Victoria's secret:  She was made up by a dude (Dude) Victoria was made up by a dude (Dude) Victoria was made up by a dude    I wish somebody would've told me that thighs of thunder Meant normal human thighs  The fuckin' pressure I was under To lose my appetite and fight the cellulite  With Hunger Games like every night If I could go back and tell myself when I was younger I'd say, ""Hey, dummy   I know Victoria's secret  And, girl, you wouldn't believe She's an old man who lives in Ohio  Making money off of girls like me"" Cashin' in on body issues Sellin' skin and bones with big boobs I know Victoria's secret:  She was made up by a dude (Dude) Victoria was made up by a dude (Dude) Victoria was made up by a dude    I know Victoria's secret  And, girl, you wouldn't believe She's an old man who lives in Ohio  Making money off girls like me Cashin' in on body issues Sellin' skin and bones with big boobs I know Victoria's secret:  She was made up by a dude    I know Victoria's secret  And, girl, you wouldn't believe She's an old man who lives in Ohio  Making money off girls like me Cashin' in on body issues Sellin' skin and bones with big boobs ",
1259,2022,Don't Come Lookin',Jackson Dean,"[Intro] (One, two, a-three, a-three)   Got a head full o' noise 'Bout a hundred different things I'm tryna avoid I got a mind in the gutter Trouble on one hand, a beer in the other   Got the windows down and my fingers crossed Just looking for a brand-new way to get lost   So long, four wheels turnin' Got a tank full of gas down the road I'm burnin' Can't say I would and I can't say I wouldn't If I don't come back, don't come a lookin'   Feels good, about time Blue skies ahead and BS behind Got the wind in my hair Got nowhere to go so I'm already there Maybe Moab, maybe the Rockies Maybe the Great Soft Plains or the hills of Kentucky Maybe north, maybe south I don't care as long as it's now   So long, four wheels turnin' Got a tank full of gas down the road I'm burning Can't say I would and I can't say I wouldn't If I don't come back, don't come a lookin'   Come on-on-on-on, if you wanna get down tonight Come on-on-on-on, if you're lookin' for a real good time Come on-on-on-on, if you kinda wanna lose your mind   So long, four wheels turnin' Got a tank full of gas down the road I'm burnin' Can't say I would and I can't say I wouldn't If I don't come back, don't come a lookin'   So long, four wheels turnin' Got a tank full of gas down the road I'm burnin' Can't say I would and I can't say I wouldn't If I don't come back, don't come a lookin' ",
1260,2022,Son Of A Sinner,Jelly Roll,"I never get lonely I got these ghosts to keep me company I took the rearview off of this old Ford so I only see in front of me Now the past is out of sight and out of mind Swore I changed, now I'm back chasing these white lines    I'm just a long-haired son of a sinner Searching for new ways I can get gone I'm a pedal to the highway if you ever wonder why we write these songs 'Cause I'm only one drink away from the devil I'm only one call away from home Yeah, I'm somewherе in the middle I guess I'm just a littlе Right and wrong   These backroads got me These pills pretend to be my friend I'm done for the last time I'm lying to myself again I always say that Now I'm on my way back here somehow I should know by now   I'm just a long-haired son of a sinner Searching for new ways I can get gone I'm a pedal to the highway if you ever wonder why we write these songs 'Cause I'm only one drink away from the devil I'm only one call away from home Yeah, I'm somewhere in the middle I guess I'm just a little Right and wrong   Mistakes I made, I paid for them in cash Walked a million miles on broken glass I'm feeling like I'm fading My hearts been slowing breaking Might pop a pill, and smoke, and maybe drink Talk to God and tell him what I think At first, he's gonna hate me But eventually, He'll save me   I'm just a long-haired son of a sinner Searching for new ways I can get gone I'm a pedal to the highway if you ever wonder why we write these songs 'Cause I'm only one drink away from the devil I'm only one call away from home Yeah, I'm somewhere in the middle I guess I'm just a little Right and wrong ",
